epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,20219.6,0.76034,0.40025,0.89962,0.93173,0.90807,0.96586,0.78786,0.68037,0.35801,0.88314,0.0029215,0.0029215,0.0029215
145,20360.5,0.76169,0.40138,0.90065,0.92935,0.9087,0.96594,0.78762,0.6797,0.35746,0.88266,0.002872,0.002872,0.002872
146,20502.2,0.756,0.39797,0.89851,0.93292,0.90639,0.9664,0.78788,0.67829,0.35781,0.88199,0.0028225,0.0028225,0.0028225
147,20646.4,0.7576,0.39871,0.90054,0.92825,0.91013,0.96605,0.78906,0.67739,0.3576,0.88195,0.002773,0.002773,0.002773
148,20792.1,0.76128,0.40064,0.89839,0.9278,0.91005,0.9665,0.78835,0.67802,0.3579,0.88192,0.0027235,0.0027235,0.0027235
149,20935.7,0.75792,0.39685,0.89828,0.93112,0.90719,0.96565,0.7882,0.67792,0.35747,0.88198,0.002674,0.002674,0.002674
150,21078,0.76037,0.39936,0.90095,0.92691,0.91279,0.96537,0.78798,0.67767,0.35768,0.88206,0.0026245,0.0026245,0.0026245
151,21227.7,0.75637,0.3982,0.89583,0.93056,0.90963,0.96608,0.78854,0.67635,0.35743,0.88146,0.002575,0.002575,0.002575
152,21369.6,0.75645,0.39739,0.89845,0.92956,0.90997,0.96633,0.78837,0.67673,0.35783,0.8816,0.0025255,0.0025255,0.0025255
153,21514.1,0.75934,0.3997,0.89891,0.92633,0.91084,0.96629,0.78871,0.67659,0.35739,0.88168,0.002476,0.002476,0.002476
154,21659.6,0.75568,0.39731,0.89772,0.92626,0.91032,0.9661,0.78943,0.67712,0.35677,0.88159,0.0024265,0.0024265,0.0024265
155,21801.4,0.7526,0.39528,0.89904,0.92808,0.91032,0.96629,0.78898,0.67679,0.35678,0.88148,0.002377,0.002377,0.002377
156,21940.1,0.7517,0.39352,0.89562,0.92858,0.90859,0.96584,0.78907,0.67733,0.35674,0.88175,0.0023275,0.0023275,0.0023275
157,22085.6,0.75632,0.39822,0.89969,0.92936,0.90885,0.96609,0.78952,0.67706,0.35648,0.88168,0.002278,0.002278,0.002278
