epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,10696,0.69709,0.37161,0.88499,0.93482,0.91657,0.96982,0.81171,0.62063,0.33059,0.87102,0.0067825,0.0067825,0.0067825
67,10868.4,0.69653,0.36983,0.88479,0.93011,0.91738,0.97081,0.81433,0.6201,0.32905,0.87129,0.006733,0.006733,0.006733
68,11034.5,0.69472,0.36878,0.88395,0.93493,0.91391,0.9701,0.81201,0.61692,0.32709,0.87171,0.0066835,0.0066835,0.0066835
69,11206.2,0.69569,0.36947,0.88417,0.92475,0.9234,0.96986,0.8132,0.61695,0.3301,0.87077,0.006634,0.006634,0.006634
70,11378,0.69549,0.36767,0.88452,0.93068,0.91958,0.97024,0.81516,0.61527,0.32675,0.86977,0.0065845,0.0065845,0.0065845
71,11543.7,0.69507,0.36802,0.88253,0.92093,0.92548,0.97034,0.81573,0.61477,0.3262,0.87204,0.006535,0.006535,0.006535
72,11716.2,0.68888,0.36268,0.88343,0.92559,0.92016,0.96987,0.81353,0.61219,0.32676,0.86944,0.0064855,0.0064855,0.0064855
73,11884.8,0.68806,0.36487,0.88229,0.93014,0.91611,0.97042,0.8146,0.6138,0.32657,0.86954,0.006436,0.006436,0.006436
74,12054.9,0.68612,0.36144,0.88134,0.9322,0.91819,0.97076,0.81924,0.6068,0.32228,0.86776,0.0063865,0.0063865,0.0063865
75,12226.7,0.68289,0.36155,0.88138,0.92241,0.92576,0.97063,0.81861,0.60893,0.32301,0.86879,0.006337,0.006337,0.006337
76,12394.3,0.68463,0.36187,0.88012,0.9259,0.92583,0.97064,0.81863,0.6101,0.32484,0.86925,0.0062875,0.0062875,0.0062875
77,12563.5,0.67847,0.36197,0.88137,0.92947,0.92155,0.97094,0.81723,0.61179,0.32211,0.8698,0.006238,0.006238,0.006238
78,12734.6,0.68216,0.36143,0.87885,0.93136,0.91807,0.97062,0.81779,0.60948,0.32145,0.86944,0.0061885,0.0061885,0.0061885
79,12900.2,0.67589,0.35785,0.87871,0.92542,0.92085,0.97097,0.82074,0.60491,0.31979,0.8674,0.006139,0.006139,0.006139
80,13073.5,0.67773,0.35999,0.88058,0.92052,0.93011,0.97088,0.82129,0.60414,0.32049,0.86747,0.0060895,0.0060895,0.0060895
81,13246.9,0.67476,0.35971,0.88058,0.92791,0.9205,0.97085,0.8199,0.60426,0.31848,0.86792,0.00604,0.00604,0.00604
82,13415.9,0.67433,0.35453,0.8807,0.92686,0.92084,0.97096,0.8188,0.60992,0.32229,0.86882,0.0059905,0.0059905,0.0059905
83,13584.7,0.67282,0.3544,0.87741,0.93364,0.91692,0.96976,0.81856,0.60672,0.3198,0.86687,0.005941,0.005941,0.005941
84,13755,0.66943,0.35481,0.8783,0.93108,0.92351,0.97226,0.82249,0.60461,0.31727,0.86732,0.0058915,0.0058915,0.0058915
