epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,14925.5,0.6985,0.37094,0.88459,0.92975,0.91842,0.97065,0.8114,0.62623,0.33234,0.8699,0.0048025,0.0048025,0.0048025
107,15071.4,0.70395,0.37099,0.88731,0.93062,0.91877,0.97088,0.81235,0.62629,0.33081,0.86959,0.004753,0.004753,0.004753
108,15216.6,0.70476,0.37271,0.88459,0.9308,0.91826,0.97152,0.81241,0.62883,0.32997,0.87075,0.0047035,0.0047035,0.0047035
109,15363.3,0.69907,0.3685,0.88358,0.93474,0.91437,0.97058,0.81029,0.62707,0.3306,0.87119,0.004654,0.004654,0.004654
110,15508.4,0.69893,0.36823,0.88408,0.93508,0.91449,0.97077,0.81141,0.62854,0.33173,0.87099,0.0046045,0.0046045,0.0046045
111,15654.5,0.6969,0.37101,0.88349,0.93152,0.91771,0.97073,0.81226,0.62714,0.33,0.87066,0.004555,0.004555,0.004555
112,15801.1,0.69779,0.36906,0.88369,0.93141,0.91784,0.97138,0.81278,0.62691,0.33096,0.86959,0.0045055,0.0045055,0.0045055
113,15946.2,0.6945,0.36696,0.88477,0.9362,0.91522,0.97116,0.81341,0.62358,0.32848,0.86931,0.004456,0.004456,0.004456
114,16092.5,0.69567,0.36722,0.8816,0.93391,0.91657,0.97179,0.8142,0.62306,0.3281,0.86879,0.0044065,0.0044065,0.0044065
115,16237.8,0.69319,0.36517,0.88073,0.93074,0.92085,0.97044,0.81304,0.62493,0.32774,0.86991,0.004357,0.004357,0.004357
116,16383.7,0.69699,0.36693,0.88351,0.93308,0.91487,0.97051,0.81272,0.62358,0.32821,0.86909,0.0043075,0.0043075,0.0043075
117,16526.2,0.68915,0.36545,0.88323,0.92749,0.91912,0.97017,0.81452,0.62399,0.32769,0.86897,0.004258,0.004258,0.004258
118,16668.8,0.69033,0.36565,0.88177,0.9316,0.91865,0.97029,0.81414,0.62508,0.32772,0.86906,0.0042085,0.0042085,0.0042085
